Data,Tipo de movimentação,Valor
2024-07-22,Rendimentos,2.08
2024-07-23,Rendimentos,2.39
2024-07-24,Rendimentos,2.14
2024-07-25,Rendimentos,2.25
2024-07-26,Rendimentos,2.21
2024-07-29,Rendimentos,2.25
2024-07-30,Rendimentos,2.72
2024-07-31,Rendimentos,2.39
2024-08-01,Rendimentos,2.37
2024-08-02,Rendimentos,2.39
2024-08-05,Rendimentos,2.46
2024-08-06,Rendimentos,3.1
2024-08-07,Rendimentos,3.07
2024-08-08,Rendimentos,2.54
2024-08-09,Rendimentos,2.25
2024-08-12,Rendimentos,2.26
2024-08-13,Rendimentos,2.25
2024-08-14,Rendimentos,2.26
2024-08-15,Rendimentos,2.27
2024-08-16,Rendimentos,2.27
2024-08-19,Rendimentos,2.25
2024-08-20,Rendimentos,2.29
2024-08-21,Rendimentos,2.25
2024-08-22,Rendimentos,2.25
2024-08-23,Rendimentos,2.27
2024-08-26,Rendimentos,2.26
2024-08-27,Rendimentos,2.28
2024-08-28,Rendimentos,2.25
2024-08-29,Rendimentos,2.29
2024-08-30,Rendimentos,2.26
2024-09-02,Rendimentos,2.29
2024-09-03,Rendimentos,2.25
2024-09-04,Rendimentos,2.29
2024-09-05,Rendimentos,2.27
2024-09-06,Rendimentos,2.29
2024-09-09,Rendimentos,2.29
2024-09-10,Rendimentos,4.14
2024-09-11,Rendimentos,2.28
2024-09-12,Rendimentos,2.3
2024-09-13,Rendimentos,2.31
2024-09-16,Rendimentos,2.27
2024-09-17,Rendimentos,2.3
2024-09-18,Rendimentos,2.3
2024-09-19,Rendimentos,2.31
2024-09-20,Rendimentos,2.33
2024-09-23,Rendimentos,2.36
2024-09-24,Rendimentos,2.37
2024-09-25,Rendimentos,2.35
2024-09-26,Rendimentos,2.36
2024-09-27,Rendimentos,2.35
2024-09-30,Rendimentos,2.37
2024-10-01,Rendimentos,2.57
2024-10-02,Rendimentos,2.38
2024-10-03,Rendimentos,2.36
2024-10-04,Rendimentos,2.35
2024-10-07,Rendimentos,2.38
2024-10-08,Rendimentos,3.29
2024-10-09,Rendimentos,2.37
2024-10-10,Rendimentos,2.38
2024-10-11,Rendimentos,2.34
2024-10-14,Resgatado,-1600.0
2024-10-14,Rendimentos,2.39
2024-10-15,Rendimentos,1.82
2024-10-16,Rendimentos,1.85
2024-10-17,Rendimentos,1.85
2024-10-18,Rendimentos,1.84
2024-10-21,Rendimentos,1.85
2024-10-22,Rendimentos,1.85
2024-10-23,Rendimentos,1.84
2024-10-24,Rendimentos,1.85
2024-10-25,Rendimentos,1.85
2024-10-28,Rendimentos,1.84
2024-10-29,Rendimentos,1.84
2024-10-30,Rendimentos,1.86
2024-10-31,Rendimentos,1.86
2024-11-01,Rendimentos,1.85
2024-11-02,Guardado,455.0
2024-11-04,Rendimentos,1.84
2024-11-05,Rendimentos,1.86
2024-11-06,Rendimentos,3.74
2024-11-07,Rendimentos,1.9
2024-11-08,Rendimentos,1.99
2024-11-11,Rendimentos,2.01
2024-11-12,Rendimentos,2.06
2024-11-12,Guardado,500.0
2024-11-13,Guardado,620.81
2024-11-13,Rendimentos,2.04
2024-11-14,Rendimentos,2.08
2024-11-18,Rendimentos,2.1
2024-11-19,Rendimentos,2.42
2024-11-21,Rendimentos,2.2
2024-11-22,Rendimentos,2.4
2024-11-25,Rendimentos,2.36
2024-11-26,Rendimentos,2.68
2024-11-27,Rendimentos,2.39
2024-11-28,Rendimentos,2.44
